_key,ad,humidity,pressure,temperature,timestamp
1671274869,919,67.50,970.29,28.52,1671274869
1671274271,940,65.88,970.22,29.11,1671274271
1671273973,959,65.96,970.15,29.65,1671273973
1671248969,950,68.52,967.63,28.59,1671248969
1671248670,951,68.26,967.62,28.62,1671248670
1671248372,952,67.99,967.59,28.66,1671248372
1671248074,954,67.79,967.66,28.73,1671248074
1671247774,955,67.68,967.69,28.77,1671247774
1671247476,955,67.61,967.71,28.78,1671247476
1671247178,957,67.50,967.67,28.82,1671247178
1671246880,957,67.38,967.74,28.85,1671246880
1671246582,958,67.31,967.75,28.89,1671246582
1671246283,960,67.24,967.86,28.97,1671246283
1671245985,961,67.03,967.98,29.03,1671245985
1671245687,962,66.70,968.02,29.09,1671245687
1671245386,963,66.47,968.10,29.15,1671245386
1671245088,964,66.28,968.14,29.19,1671245088
1671244790,966,66.06,968.14,29.23,1671244790
1671244491,967,66.06,968.16,29.28,1671244491
1671244193,969,66.17,968.22,29.35,1671244193
1671243895,970,66.19,968.27,29.40,1671243895
1671243283,973,66.27,968.32,29.49,1671243283
1671242981,974,66.33,968.29,29.52,1671242981
1671242653,976,66.56,968.27,29.58,1671242653
1671242355,978,66.63,968.34,29.66,1671242355
1671242056,980,66.53,968.35,29.73,1671242056
1671241758,982,66.47,968.39,29.78,1671241758
1671241460,983,66.21,968.45,29.83,1671241460
1671241160,985,65.90,968.49,29.90,1671241160
1671240862,988,65.51,968.51,30.00,1671240862
1671239962,1005,63.80,968.55,30.54,1671239962
1671239662,1015,63.09,968.53,30.82,1671239662
1671239366,1017,64.77,968.55,30.88,1671239366
1671239282,1021,63.70,968.71,31.04,1671239282
1670858353,1097,48.83,970.98,34.05,1670858353
1670858057,1127,48.93,971.04,34.98,1670858057
1670857761,1134,48.42,971.02,35.20,1670857761
1670857466,1166,48.02,971.17,36.22,1670857466
1670857169,1156,46.03,971.23,35.92,1670857169
1670856574,1133,50.09,971.30,35.26,1670856574
1670856272,1099,52.70,971.40,34.25,1670856272
1670855975,1072,53.31,971.47,33.46,1670855975
1670855677,1069,53.98,971.51,33.37,1670855677
1670855378,1000,59.82,971.53,31.32,1670855378
1670855081,997,58.89,971.66,31.27,1670855081
1670854785,1006,58.63,971.69,31.53,1670854785
1670854489,1003,59.42,971.74,31.47,1670854489
1670854192,1001,59.41,971.78,31.42,1670854192
1670853896,1007,59.10,971.80,31.60,1670853896
1670853599,1019,59.17,971.87,32.00,1670853599
1670821097,798,79.62,970.24,24.96,1670821097
1670820798,800,79.48,970.24,25.01,1670820798
1670820500,803,79.16,970.12,25.06,1670820500
1670820204,806,79.28,970.06,25.13,1670820204
1670819907,806,78.98,970.10,25.13,1670819907
1670819611,807,78.75,970.08,25.15,1670819611
1670819315,807,78.57,970.03,25.14,1670819315
1670819018,807,78.44,969.99,25.14,1670819018
1670818424,805,78.36,969.89,25.05,1670818424
1670818128,806,78.33,969.84,25.06,1670818128
1670817831,807,78.58,969.84,25.09,1670817831
1670817534,809,78.50,969.82,25.13,1670817534
1670817238,812,78.41,969.76,25.20,1670817238
1670816942,813,78.23,969.76,25.25,1670816942
1670816645,814,77.83,969.80,25.28,1670816645
1670816349,815,77.50,969.79,25.31,1670816349
1670815755,818,77.14,969.89,25.42,1670815755
1670815459,818,76.93,969.94,25.45,1670815459
1670815159,820,76.59,970.00,25.50,1670815159
1670814863,822,76.45,970.06,25.58,1670814863
1670814566,823,75.92,970.12,25.64,1670814566
1670814270,826,75.76,970.09,25.71,1670814270
1670813974,827,75.23,970.18,25.78,1670813974
1670813677,831,75.23,970.15,25.87,1670813677
1670813381,833,74.85,970.11,25.93,1670813381
1670813084,835,74.46,970.11,26.00,1670813084
1670812788,837,74.04,970.13,26.04,1670812788
1670812491,838,73.84,970.22,26.10,1670812491
1670812195,839,73.90,970.28,26.15,1670812195
1670811899,841,74.04,970.30,26.21,1670811899
1670811602,843,74.25,970.30,26.28,1670811602
1670811306,844,73.45,970.36,26.34,1670811306
1670811009,846,73.66,970.47,26.42,1670811009
1670810713,848,73.45,970.45,26.46,1670810713
1670810417,849,73.55,970.51,26.52,1670810417
1670809823,851,73.24,970.52,26.57,1670809823
1670809526,850,73.01,970.62,26.57,1670809526
1670809230,850,72.33,970.60,26.58,1670809230
1670808933,852,72.54,970.60,26.65,1670808933
1670808636,854,72.25,970.59,26.69,1670808636
1670808339,855,72.12,970.64,26.74,1670808339
1670808041,857,71.87,970.59,26.77,1670808041
1670807744,856,71.79,970.56,26.75,1670807744
1670807447,859,72.24,970.47,26.81,1670807447
1670807150,859,71.23,970.47,26.80,1670807150
1670806853,861,71.40,970.46,26.85,1670806853
1670806556,862,70.99,970.43,26.89,1670806556
1670806258,865,70.96,970.45,26.98,1670806258
1670805962,868,71.10,970.48,27.08,1670805962
1670805665,871,70.87,970.43,27.15,1670805665
1670805368,872,70.56,970.47,27.19,1670805368
1670805071,874,70.62,970.49,27.26,1670805071
1670804773,876,70.56,970.47,27.31,1670804773
1670804178,880,70.14,970.41,27.39,1670804178
1670803881,882,70.35,970.39,27.46,1670803881
1670803584,884,69.83,970.38,27.50,1670803584
1670803286,886,69.62,970.34,27.56,1670803286
1670802692,891,69.27,970.28,27.69,1670802692
1670802395,894,69.20,970.21,27.76,1670802395
1670802099,896,69.32,970.22,27.81,1670802099
1670801803,896,69.03,970.19,27.80,1670801803
1670801507,897,68.90,970.24,27.85,1670801507
1670801210,898,68.29,970.21,27.87,1670801210
1670800913,901,68.48,970.16,27.93,1670800913
1670800617,902,67.91,970.14,27.95,1670800617
1670800319,901,67.89,970.23,27.96,1670800319
1670800022,902,67.97,970.22,27.99,1670800022
1670799726,904,67.54,970.13,28.02,1670799726
1670799428,907,67.61,970.10,28.10,1670799428
1670799132,908,67.35,970.08,28.13,1670799132
1670798835,909,67.42,970.08,28.15,1670798835
1670798539,910,66.79,970.09,28.19,1670798539
1670798242,913,66.84,970.03,28.25,1670798242
1670797946,916,66.78,969.93,28.32,1670797946
1670797650,919,66.29,969.82,28.36,1670797650
1670797354,923,66.63,969.81,28.48,1670797354
1670796462,930,64.76,969.77,28.68,1670796462
1670796166,932,64.64,969.83,28.77,1670796166
1670795870,938,64.00,969.72,28.89,1670795870
1670795573,941,63.25,969.75,28.99,1670795573
1670795275,946,63.13,969.74,29.13,1670795275
1670794979,950,62.68,969.78,29.28,1670794979
1670794683,953,62.38,969.83,29.39,1670794683
1670794385,956,61.45,969.79,29.46,1670794385
1670794089,962,61.09,969.75,29.62,1670794089
1670793792,966,60.30,969.66,29.70,1670793792
1670793497,970,59.58,969.67,29.84,1670793497
1670793193,975,58.84,969.62,29.98,1670793193
1670792600,987,57.62,969.51,30.29,1670792600
1670792304,993,56.62,969.46,30.45,1670792304
1670792007,998,55.99,969.41,30.60,1670792007
1670791696,1004,54.66,969.39,30.76,1670791696
1670791399,1009,53.74,969.34,30.89,1670791399
1670791101,1012,53.18,969.34,30.99,1670791101
1670790805,1015,53.02,969.34,31.06,1670790805
1670790509,1018,52.48,969.33,31.15,1670790509
1670790212,1019,52.52,969.33,31.18,1670790212
1670789916,1022,52.88,969.27,31.27,1670789916
1670789620,1024,52.20,969.29,31.33,1670789620
1670789323,1027,52.37,969.28,31.41,1670789323
1670789028,1028,53.25,969.41,31.48,1670789028
1670788728,1030,52.94,969.41,31.54,1670788728
