_key,ad,humidity,pressure,temperature,timestamp
1671274869,919,67.50,970.29,28.52,1671274869
1671274271,940,65.88,970.22,29.11,1671274271
1671273973,959,65.96,970.15,29.65,1671273973
1671248969,950,68.52,967.63,28.59,1671248969
1671248670,951,68.26,967.62,28.62,1671248670
1671248372,952,67.99,967.59,28.66,1671248372
1671248074,954,67.79,967.66,28.73,1671248074
1671247774,955,67.68,967.69,28.77,1671247774
1671247476,955,67.61,967.71,28.78,1671247476
1671247178,957,67.50,967.67,28.82,1671247178
1671246880,957,67.38,967.74,28.85,1671246880
1671246582,958,67.31,967.75,28.89,1671246582
1671246283,960,67.24,967.86,28.97,1671246283
1671245985,961,67.03,967.98,29.03,1671245985
1671245687,962,66.70,968.02,29.09,1671245687
1671245386,963,66.47,968.10,29.15,1671245386
1671245088,964,66.28,968.14,29.19,1671245088
1671244790,966,66.06,968.14,29.23,1671244790
1671244491,967,66.06,968.16,29.28,1671244491
1671244193,969,66.17,968.22,29.35,1671244193
1671243895,970,66.19,968.27,29.40,1671243895
1671243283,973,66.27,968.32,29.49,1671243283
1671242981,974,66.33,968.29,29.52,1671242981
1671242653,976,66.56,968.27,29.58,1671242653
1671242355,978,66.63,968.34,29.66,1671242355
1671242056,980,66.53,968.35,29.73,1671242056
1671241758,982,66.47,968.39,29.78,1671241758
1671241460,983,66.21,968.45,29.83,1671241460
1671241160,985,65.90,968.49,29.90,1671241160
1671240862,988,65.51,968.51,30.00,1671240862
1671239962,1005,63.80,968.55,30.54,1671239962
1671239662,1015,63.09,968.53,30.82,1671239662
1671239366,1017,64.77,968.55,30.88,1671239366
1671239282,1021,63.70,968.71,31.04,1671239282
1670858353,1097,48.83,970.98,34.05,1670858353
1670858057,1127,48.93,971.04,34.98,1670858057
1670857761,1134,48.42,971.02,35.20,1670857761
1670857466,1166,48.02,971.17,36.22,1670857466
1670857169,1156,46.03,971.23,35.92,1670857169
1670856574,1133,50.09,971.30,35.26,1670856574
1670856272,1099,52.70,971.40,34.25,1670856272
1670855975,1072,53.31,971.47,33.46,1670855975
1670855677,1069,53.98,971.51,33.37,1670855677
1670855378,1000,59.82,971.53,31.32,1670855378
1670855081,997,58.89,971.66,31.27,1670855081
1670854785,1006,58.63,971.69,31.53,1670854785
1670854489,1003,59.42,971.74,31.47,1670854489
1670854192,1001,59.41,971.78,31.42,1670854192
1670853896,1007,59.10,971.80,31.60,1670853896
