_key,ad,humidity,pressure,temperature,timestamp
1671274869,919,67.50,970.29,28.52,1671274869
1671274271,940,65.88,970.22,29.11,1671274271
1671273973,959,65.96,970.15,29.65,1671273973
1671248969,950,68.52,967.63,28.59,1671248969
1671248670,951,68.26,967.62,28.62,1671248670
1671248372,952,67.99,967.59,28.66,1671248372
1671248074,954,67.79,967.66,28.73,1671248074
1671247774,955,67.68,967.69,28.77,1671247774
1671247476,955,67.61,967.71,28.78,1671247476
1671247178,957,67.50,967.67,28.82,1671247178
1671246880,957,67.38,967.74,28.85,1671246880
1671246582,958,67.31,967.75,28.89,1671246582
1671246283,960,67.24,967.86,28.97,1671246283
1671245985,961,67.03,967.98,29.03,1671245985
1671245687,962,66.70,968.02,29.09,1671245687
1671245386,963,66.47,968.10,29.15,1671245386
1671245088,964,66.28,968.14,29.19,1671245088
1671244790,966,66.06,968.14,29.23,1671244790
1671244491,967,66.06,968.16,29.28,1671244491
1671244193,969,66.17,968.22,29.35,1671244193
1671243895,970,66.19,968.27,29.40,1671243895
1671243283,973,66.27,968.32,29.49,1671243283
1671242981,974,66.33,968.29,29.52,1671242981
1667401932,702,73.61,956.36,17.94,1667401932
1667401810,703,73.70,956.35,17.96,1667401810
1667401687,706,74.00,956.31,18.05,1667401687
1667401564,699,73.42,956.32,17.85,1667401564
